timestep,timestamp,baseline_temp,ai_temp,baseline_pmv,ai_pmv,baseline_kw,ai_kw
119,Day-Step 119,22.0,20.000000000000004,-0.8503420801352947,-1.2213870702251182,4.669689963588237,3.6792793709716323
120,Day-Step 120,21.999999999999996,20.0,-0.8503420803768585,-1.221387070588469,4.669689966298783,3.679279375119597
121,Day-Step 121,22.0,20.000000000000004,-0.8503420806136528,-1.2213870709447852,4.669689968956704,3.679279379187019
122,Day-Step 122,22.0,20.975571430973833,-0.8503420808459161,-1.0932098207232588,4.669689971562989,4.671678074749483
123,Day-Step 123,22.0,20.999988383082886,-0.8503420810736706,-1.0487902602150176,4.669689974118678,3.8694822521888232
124,Day-Step 124,22.000000000000007,20.999998921051695,-0.8503420812969849,-1.0509440760300803,4.669689976624732,4.332537493394023
125,Day-Step 125,22.000000000000004,20.99999990228483,-0.8503420815159458,-1.048603190559912,4.669689979082123,4.218700608292335
126,Day-Step 126,22.000000000000004,21.972790851848668,-0.8503420817307015,-0.9174989428585046,4.669689981491818,5.213501008212694
127,Day-Step 127,22.000000000000004,21.999979736767088,-0.8503420819412433,-0.8707079047620628,4.669689983854711,4.414459105988709
128,Day-Step 128,22.000000000000004,21.99999786935966,-0.8503420821477309,-0.8718524586070737,4.6696899861717185,4.8629111351315295
129,Day-Step 129,22.000000000000004,21.999999780948553,-0.8503420823501346,-0.8684777511047975,4.669689988443739,4.747004390673709
130,Day-Step 130,22.000000000000004,22.222578097140357,-0.8503420825486778,-0.8364477069993088,4.669689990671659,5.100703382492095
131,Day-Step 131,22.000000000000004,22.247141263486853,-0.8503420827433644,-0.8216983491113053,4.669689992856308,4.805346065086907
132,Day-Step 132,22.0,22.249697050693158,-0.8503420829342458,-0.8191353135604146,4.669689994998546,4.876998753366501
133,Day-Step 133,22.0,22.24996804391619,-0.8503420831214572,-0.8169765414778428,4.669689997099196,4.850264156010391
134,Day-Step 134,22.000000000000004,22.47187573453532,-0.8503420833049916,-0.7857385060618955,4.66968999915905,5.2113057335043305
135,Day-Step 135,22.000000000000004,22.496987255048285,-0.8503420834849662,-0.7714661111202434,4.669690001178909,4.919657158358934
136,Day-Step 136,22.000000000000004,22.499671989541184,-0.8503420836614496,-0.7693778332775361,4.669690003159566,4.99284991564299
137,Day-Step 137,22.0,22.49996443580367,-0.8503420838345321,-0.7676190372422715,4.6696900051017645,4.968524303748254
138,Day-Step 138,22.0,22.721130877030326,-0.8503420840042322,-0.7367892050641929,4.669690007006253,5.331764030079148
139,Day-Step 139,22.0,22.746819629746742,-0.8503420841706553,-0.7227516547003087,4.66969000887377,5.0425618683773425
140,Day-Step 140,22.000000000000004,22.74964406895133,-0.8503420843338468,-0.7208613187006226,4.669690010705027,5.115571975008867
141,Day-Step 141,22.0,22.749960318878763,-0.8503420844938386,-0.7193095733099648,4.6696900125007295,5.092404502747372
142,Day-Step 142,22.000000000000004,22.970357863747036,-0.8503420846507906,-0.6887734741065884,4.669690014261593,5.4573488654458115
143,Day-Step 143,22.000000000000007,22.996641253146304,-0.8503420848046257,-0.6748214403830568,4.66969001598825,5.1698834820605555
144,Day-Step 144,21.999999999999996,22.999613584570596,-0.8503420849554777,-0.6730147382879106,4.669690017681395,5.242055413462933
145,Day-Step 145,21.999999999999996,22.99995570508165,-0.8503420851034168,-0.671567661130178,4.669690019341688,5.219522328554458
146,Day-Step 146,22.000000000000004,22.999994927618307,-0.8503420852485639,-0.6704630386696461,4.6696900209697265,5.212524739394028
147,Day-Step 147,22.0,22.999999419474662,-0.85034208539077,-0.6695210845854878,4.669690022566167,5.208504540779864
148,Day-Step 148,22.0,22.999999933585844,-0.8503420855303131,-0.6687468890223253,4.669690024131628,5.205676793795258
149,Day-Step 149,22.0,22.99999999240477,-0.85034208566708,-0.6680390624435998,4.669690025666693,5.20314124950387
150,Day-Step 150,22.0,22.99999999913167,-0.8503420858012326,-0.6674207026607752,4.66969002717196,5.200897952768822
151,Day-Step 151,22.000000000000004,22.99999999990075,-0.85034208593272,-0.6668807058739741,4.66969002864801,5.199000312304129
152,Day-Step 152,22.000000000000004,22.99999999998866,-0.8503420860617315,-0.6664086057140922,4.669690030095412,5.197394360949967
153,Day-Step 153,22.0,22.999999999998703,-0.8503420861882263,-0.6659953043098115,4.669690031514723,5.196031891222121
154,Day-Step 154,22.000000000000004,22.999999999999854,-0.8503420863121979,-0.6656329502811539,4.6696900329064785,5.194872487736037
155,Day-Step 155,22.000000000000004,22.999999999999982,-0.8503420864338193,-0.6653497676427301,4.669690034271216,5.194207788015366
156,Day-Step 156,22.0,22.999999999999996,-0.8503420865530688,-0.6650752537122061,4.669690035609468,5.19350691056544
